number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
56,0.34374000000000005,2025-07-23 18:02:14.821933,2025-07-23 18:11:26.252419,0 days 00:09:11.430486000,64,0.1,0.01,0.1,5,5000,64,COMPLETE
57,0.2919,2025-07-23 18:11:26.273563,2025-07-23 18:20:24.199987,0 days 00:08:57.926424000,64,1.0,1.0,0.0001,5,5000,64,COMPLETE
58,0.3942,2025-07-23 18:20:24.217195,2025-07-23 18:29:33.241257,0 days 00:09:09.024062000,64,0.1,0.01,0.0001,10,5000,256,COMPLETE
59,0.47746000000000005,2025-07-24 08:24:33.222580,2025-07-24 08:38:10.684097,0 days 00:13:37.461517000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
60,0.47746000000000005,2025-07-24 08:38:10.705697,2025-07-24 08:51:55.018991,0 days 00:13:44.313294000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
61,0.47746000000000005,2025-07-24 08:51:55.036421,2025-07-24 09:05:30.011642,0 days 00:13:34.975221000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
62,0.47746000000000005,2025-07-24 09:05:30.028938,2025-07-24 09:19:18.396951,0 days 00:13:48.368013000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
63,0.47746000000000005,2025-07-24 09:19:18.415479,2025-07-24 09:32:51.870828,0 days 00:13:33.455349000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
64,0.3088,2025-07-24 09:32:51.893721,2025-07-24 09:46:39.388601,0 days 00:13:47.494880000,256,0.1,0.5,0.0001,5,3000,64,COMPLETE
65,0.29510000000000003,2025-07-24 09:46:39.406597,2025-07-24 09:59:44.283556,0 days 00:13:04.876959000,256,0.1,0.01,0.1,5,3000,64,COMPLETE
66,0.47746000000000005,2025-07-24 09:59:44.302215,2025-07-24 10:13:26.455491,0 days 00:13:42.153276000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
67,0.43848000000000004,2025-07-24 10:13:26.474550,2025-07-24 10:28:33.641435,0 days 00:15:07.166885000,256,0.01,0.01,0.0001,3,3000,256,COMPLETE
68,0.47746000000000005,2025-07-24 10:28:33.660604,2025-07-24 10:42:14.980910,0 days 00:13:41.320306000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
69,0.28262000000000004,2025-07-24 10:42:15.000205,2025-07-24 10:55:48.745278,0 days 00:13:33.745073000,256,0.1,1.0,0.0001,5,3000,64,COMPLETE
70,0.47746000000000005,2025-07-24 10:55:48.764003,2025-07-24 11:09:33.008416,0 days 00:13:44.244413000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
71,0.47746000000000005,2025-07-24 11:09:33.027297,2025-07-24 11:23:12.714416,0 days 00:13:39.687119000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
72,0.47746000000000005,2025-07-24 11:23:12.732798,2025-07-24 11:36:54.411205,0 days 00:13:41.678407000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
73,0.47746000000000005,2025-07-24 11:36:54.429154,2025-07-24 11:51:13.147039,0 days 00:14:18.717885000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
74,0.47746000000000005,2025-07-24 11:51:13.166091,2025-07-24 12:07:59.565491,0 days 00:16:46.399400000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
75,0.47746000000000005,2025-07-24 12:07:59.594126,2025-07-24 12:27:00.573964,0 days 00:19:00.979838000,256,0.1,0.01,0.0001,5,3000,64,COMPLETE
76,0.2888,2025-07-24 12:27:00.598599,2025-07-24 12:45:10.266180,0 days 00:18:09.667581000,256,0.5,0.5,0.0001,5,3000,64,COMPLETE
77,0.36482000000000003,2025-07-24 12:45:10.287630,2025-07-24 13:03:04.085418,0 days 00:17:53.797788000,256,0.1,0.01,0.1,10,3000,64,COMPLETE
78,0.2801,2025-07-24 13:03:04.105650,2025-07-24 13:19:54.769129,0 days 00:16:50.663479000,256,0.01,0.01,0.0001,5,3000,64,COMPLETE
79,0.43628000000000006,2025-07-24 13:19:54.789813,2025-07-24 13:37:43.554541,0 days 00:17:48.764728000,256,1.0,0.01,0.0001,5,3000,256,COMPLETE
80,0.46956000000000003,2025-07-24 13:37:43.577325,2025-07-24 13:53:22.081238,0 days 00:15:38.503913000,256,0.1,0.01,0.0001,3,3000,64,COMPLETE
